address,points,boost
0xbA652cf860922e0A22C06b974C954011876d950D,567.81,0.1
0x6A0b8D535dEF9Cd257D0f7D0eff2A7fC1CD074B0,567.43,0.1
0xd85826e7c3458b75197dDf26841A9F527D3747c4,565.59,0.375
0xF6B15cAda3E8B15a91B166a749D146034f9960ce,564.35,0.375
0xDdb5DB35b7D023F7F8dcF7d91E5394fD610dbB1e,562.51,0.375
0x45580312e4A43227ec6DD673a7deD95bDb349148,552.94,0.1
0x3B7D17D8B04db51EFFBEEB9A9034E360F03eC4f1,552.02,0.1
0xc8269528b0aD775dd05E8170e9a9e4214150EF71,549.25,0.375
0x94854BA3033541Af96aeF8dE3Fb0448E237e2Cc3,547.24,0
0x129dC8B1EFB1505b5f98b71fe6e8F00b78486d84,540.69,0.375
0x2C652981fcBCc058b7b3a5FB10a3994C59e1bbeC,534.34,0.375
0x510333ff82794D65707086EF97543AAA11ec6830,527.07,0.25
0x9B68737f2536416C8306F77199f05c4fc6d5524c,525.04,0
0xB5203e4cFb116E2Eb6a40F013a3eDe6d05ddED3f,520.4,0.375
0x1d12cbe0450983D9D3C255D0F773a79C0db258D3,515.82,0.1
0x2219c41Ec4fc7b7C745e6CC1f3e4277f8fD736b1,513.83,0.375
0x1477D12eb415A5eBb8e4C09CA3FDB253240610C9,510.22,0.1
0x5a02EC687b7F6F47D4B684481E4Bd8D835373A9b,507.97,0.1
0x7Af582FB1bB7394231480EBEB3f1EBFcD8244C62,504.4,0.375
0xeC08b404AbbFCB0fF7a5f05a517F6165f529Db71,497.61,0.1
0x71556828f1595750bc1C8E965EFC90570902911e,491.37,0.25
0x4eF9cb881CbC7Da72cCa89E2EB9f12171dFE7072,486.45,0.1
0xAD2D8689c0a9939dcb09a41d49c762708E0a1674,484.19,0.375
0x8E3593519dEeCA6AedB9A31d07829E6dbCe71ed5,481.37,0
0xA511fCf38fBc6Bf635341094329C406be3B07B3d,476.26,0.375
0xb872E5Ae6FDBE4944C3e9f6cb98e835382D769fC,470.61,0.375
0x4A9812068966f38031cAfDD72DF9A913526BCC82,467.8,0
0xa2bD1065bd5aAE01892dDc7D6210865b23FE78A2,462.62,0.1
0xC98acCA479f0E9886D4bbFF0bD703c59E2b81383,462.12,0.375
0x0BBC3234d465988aE295f2F4f66dafdE8836e6Eb,459.43,0.375
0x41e8471e4cFCA19e7EAc5057847DcFdA21c8D02f,456.99,0.375
0x1FaBE75DD37B3c5d8f33B2E21BeCDA58Ac0d7006,454.22,0
0x37D542326aDaf45382666eaD42EE216e8Ec64c12,449.69,0.1
0x1272aEC4daD2FD887AA16D32f494C4601a6E6fDB,449,0
0x944179480Ed3ca3E29E63e7B4160b982762F5988,448.33,0
0xe88f1a3B4150FD061446b2E2f7fD251DfDFf4726,445.36,0
0xbE98Ea5212fA1888E73Fff45aFAa100Cda555332,439.39,0.25
0xbbAf5229F69da4Ed50D279C19671e49a34FdBA93,436.91,0.375
0x4AC9399A682a6E1f4Ade6EF56B9F64bfe417E969,435.9,0
0x27bb240C4b04a7aC1d0A11d3Bd37CeBC9C15C99D,435.11,0.25
0x13acE2C9e2ae7fdfF060d262be63d88a3685e37C,432.82,0.1
0xb3a452b944c7FDF7eB040B5aC405baD95D0bC510,425.7,0
0x5F9350Bb48708D50BC9C0b307e0eE463892503fD,425.4,0
0xA5B9EE42f799b3f8a07DA8418952Ee1Dd0eDa543,425.33,0.1
0x2fe57CcC17D1caD2D1274c2c27513CBCd8410B70,424.07,0.1
0x065DE98d5090e696cf67d13425bdcDF351C616Ae,424.03,0.375
0x85C9d4629154eB137a99748EE686570395715C66,417.31,0.1
0xe69ac3897C1aCF5b9a369D6507E0Cbf089d37525,415.53,0.65
0x2B101aFcD94AF1B7a46F21F2CF5e2E24cD681a6c,411.21,0.375
